e1	e2	g1	g2	score	e1-tag	e2-tag
blue	colour	Blau	Farbe	39	j	j
feel	idea	Gefühl	Idee	21	n	n
blue	shade	blau	schattig	25	n	v
bar	stair	Bar	Treppe	17	j	v
dessert	pepper	Dessert	Pfeffer	21	n	n
butterfly	transformer	Schmetterling	Transformator	18	n	n
country	elephant	Land	Elefant	11	j	n
shopping	street	Einkaufen	Straße	21	n	n
fruit	tomato	Obst	Tomate	39	n	n
cafe	coffee	Cafe	Kaffee	40	v	n
harbour	town	Hafen	Stadt	28	n	n
eye	smile	Auge	Lächeln	25	n	n
bloom	dandelion	Blüte	Löwenzahn	40	n	n
lunch	sunny	Mittagessen	sonnig	17	n	n
pool	rust	Pool	Rost	14	n	n
bikini	lake	Bikini	See	32	n	j
bicycle	green	Fahrrad	Grün	17	n	n
downtown	field	Stadtmitte	Feld	13	n	n
bear	daughter	Bär	Tochter	28	n	j
bud	floor	Knospe	Boden	7	n	n
hat	jacket	Hut	Jacke	33	n	n
bench	mask	Bank	Maske	9	n	n
bright	purple	hell	lila	24	n	v
autumn	hat	Herbst	Hut	16	n	n
bathroom	garden	Bad	Garten	14	n	n
floor	marble	Boden	Marmor	36	n	n
grape	rainbow	Traube	Regenbogen	10	n	j
jacket	leather	Jacke	Leder	40	n	j
glass	road	Glas	Straße	17	n	n
ivy	urban	Efeu	Stadt	9	n	n
camera	rally	Kamera	Rallye	11	n	n
poodle	puppy	Pudel	Welpe	43	n	n
nest	twig	Nest	Zweig	40	n	j
cliff	fence	Klippe	Zaun	21	n	j
sky	sunshine	Himmel	Sonnenschein	40	n	n
black	brown	schwarz	braun	34	n	n
ripple	wave	Kräuseln	Wellen	39	n	n
lion	square	Löwe	Quadrat	4	n	j
arrow	boxer	Pfeil	Boxer	14	n	n
lamb	lantern	Lamm	Laterne	12	n	n
hummingbird	insect	Kolibri	Insekt	26	n	n
garage	garden	Garage	Garten	18	n	n
aerial	violet	Antenne	Violett	6	n	n
lawn	sleep	Rasen	Schlaf	11	n	n
cooking	salad	Kochen	Salat	31	n	n
parking	photographer	Parkplatz	Fotograf	5	n	v
dirty	friend	schmutzig	Freund	11	n	n
photographer	photography	Fotograf	Fotografie	42	n	n
couple	outdoor	Paar	Outdoor	14	n	n
cocktail	write	cocktail	schreiben	4	n	n
arch	porch	Bogen	Vorbau	29	n	n
mammal	monkey	Säugetier	Affe	33	v	n
hotel	oak	Hotel	Eiche	16	j	v
face	glitter	Gesicht	Glitzer	27	n	n
exhibition	photography	Ausstellung	Fotografie	37	n	j
autumn	daffodil	Herbst	Narzisse	18	n	n
morning	sunset	Morgen	Sonnenuntergang	32	n	n
jazz	music	Jazz	Musik	43	n	n
man	muscle	Mann	Muskel	32	n	n
patio	sleep	Terrasse	Schlaf	12	n	n
bedroom	floor	Schlafzimmer	Fußboden	28	n	n
angel	sculpture	Engel	Skulptur	25	n	n
flower	violet	Blume	Veilchen	34	j	n
feel	happy	fühlen	freuen	40	n	v
foot	train	Fuß	Zug	16	n	n
day	horse	Tag	Pferd	13	n	j
cemetery	cone	Friedhof	Kegel	7	j	n
burger	food	burger	essen	43	n	n
building	tall	Gebäude	hoch	40	j	n
beard	hair	Bart	Haare	38	n	n
sea	sing	Meer	singen	8	n	n
burger	meat	Burger	Fleisch	40	n	n
raspberry	write	Himbeere	schreiben	5	n	n
bird	nest	Vogel	Nest	42	n	v
asphalt	moon	Asphalt	Mond	10	n	n
baby	pregnant	Baby	schwanger	43	n	n
pepper	salad	Pfeffer	Salat	34	n	j
cop	ruin	Bulle	Ruine	11	n	n
cow	station	Kuh	Bahnhof	15	n	n
bath	wine	Bad	Wein	12	n	n
interior	patio	Innenraum	Innenhof	22	n	n
drop	time	Tropfen	Zeit	21	n	n
day	sunset	Tag	Sonnenuntergang	43	n	v
line	subway	Linie	Untergrundbahn	27	n	n
foliage	moss	Laub	Moos	29	n	n
girl	wind	Mädchen	Wind	5	n	n
concrete	floor	Beton	Boden	37	n	n
bracelet	mountain	Armreif	Berg	4	n	n
demolition	skyscraper	Abriss	Wolkenkratzer	22	n	n
lip	smile	Lippe	Lächeln	33	n	n
morning	stop	Morgen	Stopp	10	j	j
surf	surfer	Surfen	Surfer	39	n	n
rodent	smile	Nagetier	Lächeln	5	n	j
sunny	zoo	sonnig	zoo	13	n	n
metro	television	Metro	Fernsehen	16	n	n
mural	painting	Wandbild	Malerei	41	n	n
live	stitch	leben	nähen	11	j	n
panorama	view	Panorama	Ausblick	41	j	j
club	match	Verein	Spiel	19	n	n
bay	swim	Bucht	schwimmen	29	n	n
drip	rusty	tropfend	rostig	14	n	n
bridge	ceramic	Brücke	Keramik	16	n	j
beach	holiday	Strand	Urlaub	35	n	n
old	race	alt	Rasse	17	n	n
couple	post	Paar	Post	12	n	n
book	gold	Buch	Gold	17	n	n
eat	underwater	Essen	Unterwasser	7	v	j
beetle	insect	Käfer	Insekt	40	n	n
berry	eat	Beere	essen	31	n	v
mammal	rope	Säugetier	Seil	5	n	n
flamingo	office	Flamingo	Büro	4	n	n
curl	lick	kräuseln	lecken	13	j	n
shed	traffic	Schuppen	Verkehr	9	n	n
fun	sexy	lustig	sexy	26	n	n
deer	elephant	Hirsch	Elefant	24	n	n
egg	lego	Ei	Lego	13	v	n
apartment	kitchen	Wohnung	Küche	30	n	v
play	rail	Spiel	Schiene	10	j	j
hat	outfit	Hut	Outfit	31	n	n
graphic	roof	Grafik	Dach	17	n	n
architecture	shade	Architektur	Schatten	24	n	n
brown	gull	Braun	Möwe	25	n	n
cute	smile	süß	lächelnd	24	n	j
evening	time	Abend	Uhrzeit	34	n	j
hot	zombie	heiß	Zombie	3	j	n
burn	ripple	Verbrennung	Restwelligkeit	9	n	n
breakfast	hotel	Frühstück	Hotel	21	n	n
frost	sunshine	Frost	Sonnenschein	19	n	j
family	male	Familie	männlich	24	n	j
cliff	harbour	Klippe	Hafen	27	n	n
breakfast	relax	frühstücken	entspannen	20	n	v
chopper	window	Hubschrauber	Fenster	11	n	n
guy	idea	Typ	Idee	15	n	n
shoe	toe	Schuh	Zehe	37	n	n
concrete	school	Beton	Schule	23	j	n
berry	bright	beerenfarben	hell	20	n	n
kid	stop	Kind	Anschlag	12	n	n
flower	foliage	Blüte	Laub	42	j	n
bird	pelican	Vogel	Pelikan	42	n	n
daffodil	frost	Narzisse	Frost	9	n	n
bacon	tomato	Speck	Tomate	28	n	n
skyscraper	tower	Wolkenkratzer	Turm	35	n	n
branch	tea	Zweig	Tee	17	n	v
movie	television	Film	Fernsehen	36	n	n
horse	interior	Pferd	Interieur	6	n	n
purple	red	lila	rot	34	j	n
blossom	daisy	Blüte	Gänseblümchen	37	n	n
lawn	patio	Rasen	Terrasse	31	n	n
city	mill	Stadt	Mühle	19	n	j
line	temple	Linie	Bügel	11	n	n
garden	patio	Garten	Terrasse	34	n	n
bead	gold	Perle	Gold	22	n	n
shore	waterfall	Ufer	Wasserfall	21	n	n
dress	outfit	Kleid	Outfit	38	n	n
bloom	bud	blühen	knospen	40	n	n
cocktail	dinner	Aperitif	Abendessen	32	n	n
owl	rocket	Eule	Rakete	12	j	j
man	stand	Mann	Stand	18	v	n
feel	kiss	fühlen	küssen	30	n	n
dancer	palace	Tänzerin	Palast	20	n	n
fungus	pattern	Pilz	Muster	15	j	n
fish	leg	Fisch	Keule	8	j	j
dew	frost	Tau	Frost	31	j	v
dome	uniform	Kuppel	Uniform	11	n	n
church	interior	Kirche	Innenraum	22	n	n
machine	pond	Maschine	Teich	3	n	n
lady	sexy	Dame	sexy	36	n	n
carrot	tomato	Karotte	Tomate	35	n	n
foliage	restaurant	Laub	Restaurant	11	n	n
bracelet	jewelry	armband	schmuck	44	n	n
evening	sunny	abends	sonnig	25	n	n
bathroom	porch	Bad	Veranda	19	n	n
river	waterfall	Fluss	Wasserfall	37	n	n
shade	whale	Schatten	Wal	17	j	n
muscle	tulip	Muskel	Tulpe	1	n	n
floor	skyscraper	Stockwerk	Wolkenkratzer	25	n	n
parking	scenery	Parken	Kulisse	18	n	n
bag	cop	Tasche	Polizist	8	n	n
flamingo	mammal	Flamingo	Säugetier	27	n	n
pregnancy	sit	Schwangerschaft	Sitzen	23	n	n
lego	rodent	lego	Nagetier	6	n	n
eat	strawberry	essen	Erdbeere	33	n	n
hawk	nest	Falke	Nest	39	j	n
pet	poster	Haustier	Poster	14	n	n
muscle	nature	Muskel	Natur	17	n	n
female	live	weiblich	lebendig	18	n	n
diamond	parade	Diamant	Parade	9	j	j
motor	vehicle	Motor	Fahrzeug	38	n	n
skyline	tower	Skyline	Turm	31	n	n
flower	wild	Blume	wild	29	n	n
bikini	pizza	Bikini	Pizza	1	n	n
cemetery	memorial	Friedhof	Gedenkstätte	37	n	n
goose	wolf	Gans	Wolf	26	n	n
frog	whale	Frosch	Wal	26	n	n
highway	squirrel	Autobahn	Eichhörnchen	12	j	n
hawk	mallard	Habicht	Stockente	31	n	n
flamingo	pelican	Flamingo	Pelikan	33	n	n
pool	swimming	Pool	Schwimmen	45	n	n
cloud	sky	Wolke	Himmel	42	n	n
paper	vine	Papier	Wein	14	n	n
bench	sit	Bank	Sitz	32	n	n
insect	mom	Insekt	Mutter	5	n	n
hotel	restaurant	Hotel	Restaurant	36	n	n
shore	swim	Ufer	schwimmen	35	n	n
asphalt	water	Asphalt	Wasser	10	n	n
caterpillar	paint	Raupe	Farbe	10	n	n
hair	haircut	Haare	Haarschnitt	43	n	v
camera	crow	Kamera	Krähe	9	n	n
daughter	son	Tochter	Sohn	41	n	n
sweet	vine	süß	weinig	21	j	n
dog	poodle	Hund	Pudel	43	n	n
palm	traffic	Palme	Verkehr	8	n	n
coffee	sun	Kaffee	Sonne	12	n	n
rain	wind	Regen	Wind	32	v	n
snake	taxi	Schlange	Taxi	7	j	j
steel	wing	Stahl	Flügel	21	j	j
couple	live	Paar	leben	25	v	n
kiss	love	Kuss	Liebe	39	j	n
boardwalk	evening	Uferpromenade	Abend	22	n	v
hot	weather	heiß	Wetter	31	n	n
dragonfly	piano	Libelle	Klavier	5	n	n
rail	subway	Bahn	U-Bahn	42	n	n
angel	construction	Engel	Konstruktion	6	n	n
grey	rusty	grau	rostig	22	j	j
dinner	morning	Abendessen	Vormittag	16	n	n
cocktail	relax	cocktail	entspannen	24	n	n
rain	sky	Regen	Himmel	37	n	n
cactus	leg	Kaktus	Bein	9	n	n
feel	haircut	Gefühl	Haarschnitt	11	v	n
theatre	wolf	Theater	Wolf	12	n	n
black	yellow	schwarz	gelb	32	n	n
mallard	stork	Stockente	Storch	33	n	n
ship	sink	Schiff	sinken	33	n	n
arch	roof	Bogen	Dach	33	n	n
market	white	Markt	weiß	19	n	n
happy	toe	fröhlich	zackig	16	n	n
play	wine	Spiel	Wein	5	n	n
flower	fruit	Blume	Frucht	30	n	n
musician	sing	Musiker	singen	36	n	n
automobile	racing	Automobil	Rennsport	35	n	n
leave	stop	verlassen	anhalten	19	n	n
exhibition	soup	Ausstellung	Suppe	6	n	n
industrial	lake	Industrie	See	14	n	n
air	dew	Luft	Tau	23	n	j
horse	sweet	Pferd	Süßes	9	n	n
boxer	diner	Boxer	Diner	12	n	n
brick	dress	Ziegel	Kleid	7	n	n
pin	wing	Stift	Flügel	14	n	n
band	ear	Band	Ohr	16	n	n
eye	lip	Auge	Lippe	37	v	n
office	table	Büro	Tisch	34	n	n
happy	sleep	glücklich	schlafen	22	n	n
downtown	skyscraper	Stadtzentrum	Hochhaus	39	n	v
aircraft	fly	Flugzeug	fliegen	41	v	n
can	mill	Dose	Mühle	19	v	n
dragon	oak	Drache	Eiche	7	n	n
bedroom	breakfast	Schlafzimmer	Frühstück	21	j	n
cute	kid	niedlich	Kind	31	n	n
show	television	Show	Fernsehen	44	n	n
morning	weather	Morgen	Wetter	24	n	n
clothes	cute	Kleidung	niedlich	25	v	n
feline	reptile	Katze	Reptil	21	n	j
door	room	Tür	Raum	36	n	n
candle	line	Kerze	Linie	15	n	n
barn	mug	Scheune	Becher	10	n	n
ceramic	floor	Keramik	Boden	31	n	n
day	sunshine	Tag	Sonnenschein	42	n	j
building	demolition	Bau-	Abbrucharbeiten	33	n	n
crystal	silhouette	Kristall	Scherenschnitt	13	n	j
sand	shore	Sand	Ufer	40	n	n
alley	punk	Gasse	Punk	16	n	j
car	skull	Auto	Schädel	10	n	n
dark	silhouette	dunkel	Silhouette	29	n	n
button	police	Taste	Polizei	15	n	n
mom	stop	Mama	Stopp	10	n	v
bucket	duck	Eimer	Ente	8	n	n
feather	hawk	Feder	Habicht	41	n	j
makeup	old	Make-up	alt	14	n	n
fruit	meat	Obst	Fleisch	24	n	n
guy	stand	Typ	Stand	16	v	n
lego	weather	lego	wetter	4	n	v
evening	sleep	Abend	Schlaf	33	n	n
kitchen	outfit	Küche	Outfit	8	n	v
sketch	texture	Skizze	Textur	24	n	n
arm	television	Arm	Fernsehen	10	v	n
day	evening	Tag	Abend	31	n	n
patio	swan	Terrasse	Schwan	11	n	n
dog	pet	Hund	Haustier	43	n	n
flower	plant	Blume	Pflanze	44	n	n
couple	family	Paar	Familie	29	n	n
bucket	curve	Eimer	Kurve	11	n	v
summer	sunshine	Sommer	Sonnenschein	39	n	n
haircut	sexy	Haarschnitt	sexy	23	n	n
flight	rain	Flug	Regen	14	n	n
swim	vehicle	Schwimmen	Fahrzeug	6	n	n
star	storm	Stern	Sturm	18	n	n
misty	snow	neblig	Schnee	21	j	j
sea	tropical	Meer	tropisch	37	j	j
flower	interior	Blume	Interieur	14	j	n
autumn	spring	Herbst	Frühling	44	n	n
diner	kitchen	Esszimmer	Küche	42	j	n
misty	sunrise	neblig	Sonnenaufgang	30	j	v
dandelion	grass	Löwenzahn	Gras	37	n	n
dawn	morning	Dämmerung	Morgen	39	n	n
blue	color	blau	Farbe	37	n	n
blonde	rock	blond	rockig	7	n	n
sunny	wet	sonnig	nass	22	j	n
dirt	dirty	Schmutz	Dreck	45	n	j
cold	sunny	kalt	sonnig	29	n	n
bacon	cooking	Speck	Kochen	32	n	j
clothes	hat	Kleidung	Hut	39	n	n
goose	outfit	Gans	Outfit	5	n	n
shop	show	Shop	Ausstellung	23	n	n
boat	sink	Boot	sinken	35	n	n
friend	sexy	Freund	sexy	14	n	n
jaguar	pier	Jaguar	Pfeiler	7	n	n
rusty	shade	rostig	schattig	15	n	n
ceiling	floor	Decke	Boden	38	n	n
bloom	rose	Blüte	Rose	43	n	n
night	sticker	Nacht	Aufkleber	9	v	v
dog	lick	Hund	lecken	33	n	n
punk	skyscraper	Punk	Wolkenkratzer	5	n	n
daffodil	foliage	Narzisse	Laub	34	n	n
black	stripe	schwarz	gestreift	22	n	v
cat	kitten	Katze	Kätzchen	49	j	n
friend	fun	Freund	Spaß	29	n	n
giraffe	mist	Giraffe	Nebel	3	n	n
ad	bacon	Werbung	Speck	10	n	n
bathroom	kitchen	Bad	Küche	43	j	j
morning	sunny	morgens	sonnig	40	n	n
hang	stencil	aufhängen	schablonieren	15	n	j
coffee	dinner	Kaffee	Abendessen	35	j	n
ceiling	window	Decke	Fenster	31	n	n
amphibian	mammal	Amphibien	Säugetiere	37	n	n
blue	orange	blau	orange	38	n	j
bead	library	Perle	Bibliothek	11	n	n
bedroom	patio	Schlafzimmer	Patio	20	n	n
foliage	violet	Laub	Veilchen	22	n	n
amphibian	reptile	Amphibien	Reptilien	41	j	j
brown	hummingbird	braun	kolibri	20	n	n
child	live	Kind	Leben	22	n	n
bedroom	canyon	Schlafzimmer	Canyon	5	n	n
dusk	skirt	Dämmerung	Rock	10	n	j
fun	morning	Spaß	Morgen	11	j	j
raspberry	strawberry	Himbeere	Erdbeere	44	n	n
bus	tram	Bus	Straßenbahn	38	n	n
berry	cherry	Beere	Kirsche	37	n	n
fun	idea	Spaß	Idee	30	n	n
post	view	Beitrag	Ansicht	24	n	n
racing	shirt	Rennen	Hemd	20	j	n
plant	twig	Pflanze	Zweig	37	n	n
building	skyline	Gebäude	Skyline	36	j	j
black	pigeon	Schwarz	Taube	13	v	n
hummingbird	rodent	Kolibri	Nagetier	23	n	n
sea	sink	Meer	sinken	26	n	n
decoration	twig	Dekoration	Zweig	21	n	n
restaurant	violet	Restaurant	Veilchen	7	n	n
beach	cliff	Strand	Klippe	33	n	n
design	muscle	Design	Muskel	16	n	n
bird	gull	Vogel	Möwe	37	n	n
friend	smile	Freund	Lächeln	30	j	j
hockey	sign	Hockey	Zeichen	9	n	n
cooking	noodle	Kochen	Nudeln	32	n	n
jellyfish	texture	Quallen	Textur	17	n	n
leaf	moon	Blatt	Mond	8	n	n
giraffe	zoo	Giraffe	Tierpark	37	j	j
musician	punk	Musiker	Punk	30	n	j
kitchen	sleep	Küche	Schlaf	8	n	n
beach	pebble	Strand	Kieselstein	30	n	n
dinner	relax	Essen	Entspannen	18	n	n
guy	smile	Typ	Lächeln	22	n	n
object	scooter	Objekt	Scooter	20	n	n
cow	table	Kuh	Tisch	6	j	v
friend	night	Freund	Nacht	23	n	n
feline	paw	Katze	Pfote	35	n	n
boat	shore	Boot	Ufer	38	n	n
bed	floor	Bett	Boden	30	n	n
pub	wash	Kneipe	Waschen	14	n	v
skirt	wig	Rock	Perücke	11	n	n
marble	statue	Marmor	Statue	34	n	n
dude	happy	Kumpel	glücklich	12	n	j
railway	train	Bahn	Zug	45	j	j
interior	stair	Innenraum	Treppe	25	v	j
duck	outfit	Ente	Outfit	10	n	n
apartment	sleep	Wohnung	Schlaf	19	n	n
bakery	zebra	Bäckerei	Zebra	0	n	n
cloud	misty	wolkig	neblig	35	n	n
hand	stand	Hand	Stand	31	n	n
bag	dude	Tasche	Kumpel	10	n	n
craft	soup	Handwerk	Suppe	6	n	n
apartment	staircase	Wohnung	Treppenhaus	39	n	n
action	truck	Aktion	Lkw	22	n	n
abandon	crane	aufgeben	kranen	8	n	n
jump	swimming	springen	schwimmen	28	n	v
lily	tulip	Lilie	Tulpe	44	n	n
burger	mac	Burger	Mac	28	n	n
car	pig	Auto	Schwein	8	n	n
heart	love	Herz	Liebe	40	n	n
graveyard	silver	Friedhof	Silber	15	n	n
downtown	shore	Stadtzentrum	Seeufer	21	n	n
dress	match	anziehen	anpassen	24	n	n
family	female	Familie	Frau	24	v	n
couple	square	Paar	Quadrat	9	n	n
green	shade	grün	schattig	25	n	n
grass	ruin	Gras	Ruine	12	j	n
architecture	table	Architektur	Tabelle	18	n	j
fruit	salad	Obst	Salat	42	n	n
chocolate	jellyfish	Schokolade	Quallen	8	n	n
collection	museum	Sammlung	Museum	39	n	j
creature	grey	Lebewesen	Grau	12	n	n
lingerie	sexy	Dessous	sexy	41	n	n
bedroom	diner	Schlafzimmer	Esszimmer	15	j	n
coast	zebra	Küste	Zebra	10	n	v
hang	leave	aufhängen	verlassen	15	j	v
friend	happy	Freund	glücklich	34	n	n
marble	sing	murmeln	singen	7	n	n
button	grey	Taste	grau	16	n	n
kitten	paw	Kätzchen	Pfote	39	j	n
mist	sky	Nebel	Himmel	30	n	n
museum	swim	Museum	Schwimmen	6	n	n
bird	reptile	Vogel	Reptil	31	n	n
fruit	sweet	Obst	süß	30	n	j
reptile	wild	Reptil	Wild	31	n	n
drop	rusty	Tropfen	rostig	12	n	n
insect	twig	Insekt	Zweig	22	n	n
puddle	red	Pfütze	rot	7	n	v
handle	terrier	Griff	Terrier	11	n	n
graveyard	pug	Friedhof	Mops	5	n	n
cloud	sunny	wolkig	sonnig	30	n	v
fishing	harbour	Fischerei	Hafen	34	n	n
button	sticker	Knopf	Aufkleber	27	n	j
gasoline	summer	Benzin	Sommer	8	n	n
pool	swim	Pool	Schwimmen	43	n	n
travel	wood	Reisen	Holz	15	n	n
boy	live	Junge	leben	28	j	j
lady	stop	Dame	Anschlag	10	n	n
brick	building	Ziegel	Gebäude	39	j	j
feather	pelican	Feder	Pelikan	33	v	n
sailing	ship	Segeln	Schiff	44	j	n
sidewalk	street	Gehweg	Straße	28	n	n
abandon	soldier	Verlassen	Soldat	27	n	n
cherry	raspberry	Kirsche	Himbeere	40	n	n
pond	water	Teich	Wasser	45	n	n
cathedral	interior	Kathedrale	Innenraum	22	n	n
fun	lego	Spaß	Lego	24	n	n
family	square	Familie	Platz	16	n	v
hawk	reptile	Falke	Reptil	24	n	v
cold	puddle	Kälte	Pfütze	25	n	n
guitar	punk	Gitarre	Punk	28	j	n
bird	goose	Vogel	Gans	43	v	n
breakfast	restaurant	Frühstück	Restaurant	35	n	j
lake	town	See	Stadt	17	n	n
flower	petal	Blume	Blütenblatt	46	n	n
coffee	tea	Kaffee	Tee	45	n	n
cooking	food	Kochen	Essen	38	n	v
cheetah	phone	Gepard	Telefon	3	n	n
ruin	valley	Ruine	Tal	16	n	n
gymnastics	sport	Gymnastik	Sport	44	j	n
bloom	daisy	Blüte	Gänseblümchen	41	j	n
cute	guy	niedlich	Kerl	26	n	n
meat	pond	Fleisch	Teich	5	v	v
ancient	poster	Antik	Poster	6	n	n
lock	misty	Schloss	Nebel	6	v	v
boxer	lighthouse	Boxer	Leuchtturm	4	n	n
fun	haircut	Spaß	Haarschnitt	15	n	n
blonde	cute	blond	niedlich	24	n	n
morning	sleep	Morgen	Schlaf	36	n	n
interior	skyline	Innenraum	Skyline	12	n	n
fun	time	Spaß	Zeit	20	j	j
mountain	scenery	Berg	Landschaft	37	n	n
sunlight	sunshine	Sonnenlicht	Sonnenschein	44	n	n
marble	wall	Marmor	Wand	26	n	n
snow	weather	Schnee	Wetter	37	n	n
frost	sunny	Frost	Sonne	22	n	n
room	stair	Raum	Treppe	27	n	n
boat	harbour	Boot	Hafen	38	n	j
bike	chopper	Fahrrad	Chopper	32	v	n
festival	musician	Festival	Musiker	32	n	n
book	ceramic	Buch	Keramik	8	n	j
dusk	sunrise	Abenddämmerung	Sonnenaufgang	35	n	j
food	wild	Essen	Wild	15	n	j
architecture	yellow	Architektur	Gelb	11	n	n
scenery	skyline	Kulisse	Skyline	34	j	n
dude	fun	Kumpel	Spaß	17	j	n
cathedral	church	Kathedrale	Kirche	47	n	n
dragonfly	frog	Libelle	Frosch	33	n	v
daffodil	wool	Narzisse	Wolle	11	n	n
hot	wash	heiß	waschen	27	n	n
downtown	highway	Stadtzentrum	Autobahn	34	n	n
art	work	Kunst	Arbeit	35	n	n
cat	lick	Katze	lecken	34	n	n
summer	winter	Sommer	Winter	37	n	v
fun	tear	Spaß	Tränen	12	n	n
castle	patio	Schloss	Innenhof	16	n	n
spring	summer	Frühling	Sommer	38	n	n
military	wasp	Militär	Wespe	10	n	n
action	subway	Aktion	Untergrundbahn	16	n	n
flamingo	hummingbird	Flamingo	Kolibri	41	n	j
cliff	sand	Klippe	Sand	21	n	n
dead	pigeon	tot	Taube	15	n	n
mammal	write	Säugetier	schreiben	5	n	v
alley	racing	Gasse	Rennen	27	n	n
boy	hand	Junge	Hand	23	n	n
air	carnival	Luft	Karneval	16	n	n
female	square	weiblich	quadratisch	4	n	n
happy	smile	glücklich	lächelnd	40	n	n
cooking	restaurant	Kochen	Restaurant	39	n	n
camera	lens	Kamera	Objektiv	43	n	n
fish	rocket	Fisch	Rucola	4	n	n
hummingbird	mammal	Kolibri	Säugetier	24	n	n
seed	stair	Samen	Treppe	9	n	n
bear	construction	Bär	Konstruktion	6	n	n
diner	sushi	Diner	Sushi	33	n	j
white	yellow	weiß	gelb	35	n	n
beach	coast	Strand	Küste	42	n	n
basket	moss	Korb	Moos	14	n	n
airplane	market	Flugzeug	Markt	11	n	n
morning	sit	Morgen	sitzen	19	j	j
dew	rain	Tau	Regen	35	n	n
fungus	insect	Pilz	Insekt	18	n	n
bacon	beef	Speck	Rindfleisch	35	n	n
porch	stair	Veranda	Treppe	32	n	n
sink	time	Spüle	Zeit	14	n	n
lunch	walk	Mittagessen	Spaziergang	18	n	v
door	kitchen	Tür	Küche	24	n	n
graveyard	house	Friedhof	Haus	17	n	n
dandelion	seed	Löwenzahn	Samen	28	n	n
chapel	graveyard	Kapelle	Friedhof	31	n	n
boy	gate	Junge	Tor	10	j	n
kitchen	patio	Küche	Patio	27	n	n
eye	tear	Auge	Träne	41	n	n
belly	dance	Bauch	Tanz	30	n	n
ceiling	kitchen	Decke	Küche	26	n	n
guitar	musician	Gitarre	Musiker	42	j	j
cold	hot	kalt	heiß	33	j	j
apartment	bedroom	Wohnung	Schlafzimmer	32	n	n
kiss	tear	Kuss	Träne	20	n	n
beard	face	Bart	Gesicht	39	n	n
bear	mother	Bär	Mutter	36	n	j
small	valley	klein	Tal	9	n	n
frost	lily	Frost	Lilie	12	j	n
goat	sheep	Ziege	Schaf	37	n	n
book	illustration	Buch	Illustration	36	n	n
ocean	sea	Ozean	Meer	46	n	n
bar	relax	Bar	Entspannung	24	n	v
evening	morning	abends	morgens	32	n	n
shade	white	Farbton	Weiß	23	n	n
stripe	weather	streifen	wetter	6	n	v
pumpkin	valley	Kürbis	Tal	22	n	j
glitter	sky	Glitzer	Himmel	33	j	n
drip	rust	tropfen	rosten	11	v	j
construction	sailing	Konstruktion	Segeln	10	n	n
relax	scenery	Entspannung	Kulisse	25	n	n
daisy	purple	Gänseblümchen	lila	24	n	j
hawk	hummingbird	Falke	Kolibri	34	n	n
potato	tomato	Kartoffel	Tomate	32	n	n
collage	painting	Collage	Malerei	30	v	n
oak	tree	Eiche	Baum	43	n	n
color	yellow	Farbe	Gelb	40	n	n
guy	tear	Typ	Abriss	15	n	n
marble	sunglasses	Marmor	Sonnenbrille	7	n	n
bright	shade	hell	schattig	26	n	j
bathroom	bedroom	Bad	Schlafzimmer	38	n	n
dirty	fun	schmutzig	lustig	15	j	n
bay	harbour	Bucht	Hafen	37	n	v
bright	foliage	hell	Laub	23	n	n
dusk	misty	Dämmerung	Nebel	27	n	n
parrot	reptile	Papagei	Reptil	18	n	n
live	male	live	männlich	23	v	n
smile	time	Lächeln	Zeit	15	n	v
explosion	table	Explosion	Tabelle	9	n	n
door	staircase	Tür	Treppe	29	v	v
foliage	purple	Laub	lila	15	n	n
theatre	tv	Theater	Fernsehen	26	j	n
chapel	dusk	Kapelle	Abenddämmerung	7	n	n
lingerie	underground	Dessous	Underground	8	n	n
dirty	dude	schmutzig	kumpelhaft	12	n	n
banana	cherry	Banane	Kirsche	35	n	n
dirty	wash	verschmutzen	waschen	40	n	j
hang	sit	hängen	sitzen	21	n	n
bible	dirt	bibel	schmutz	7	v	n
bedroom	sleep	Schlafzimmer	Schlaf	37	n	v
downtown	shopping	Stadtzentrum	Einkaufen	29	n	n
jaguar	storm	Jaguar	Sturm	10	n	n
feel	stop	fühlen	anhalten	13	n	n
band	uniform	Band	Uniform	30	n	n
beer	patio	Bier	Terrasse	23	n	n
bud	ivy	Knospe	Efeu	25	j	n
insect	stork	Insekt	Storch	14	n	n
idea	stop	Idee	Anschlag	7	n	n
colour	yellow	Farbe	Gelb	36	n	n
cute	mom	niedlich	Mama	21	n	j
gold	idea	Gold	Idee	11	n	v
outfit	play	Outfit	Spiel	13	n	n
cigarette	hotel	Zigarette	Hotel	11	n	n
photography	portrait	Fotografie	Porträt	38	n	n
ceiling	porch	Decke	Veranda	37	j	n
concert	sing	Konzert	Gesang	34	n	n
cigarette	smoking	Zigarette	Rauchen	42	n	n
downtown	street	Stadtzentrum	Straße	40	n	n
canal	coffee	Kanal	Kaffee	9	n	n
cloud	mist	Wolke	Nebel	37	n	n
cold	ear	Kälte	Ohr	18	n	n
circle	snake	Kreis	Schlange	16	n	n
marble	stone	Marmor	Stein	39	v	n
landscape	umbrella	Landschaft	Schirm	13	v	n
happy	morning	glücklich	Morgen	22	n	n
costume	wig	Kostüm	Perücke	37	n	n
autumn	frost	Herbst	Frost	22	n	n
lantern	oak	Laterne	Eiche	14	v	n
guitar	piano	Gitarre	Klavier	43	n	n
